HumanEval/Nr;Name;Short description;String Handling;List & Array Operations;Mathematical Calculations;Logical Checks;Date & Time Operations;Database Operations (ABAP)
42;incr_list;Increment each element in a list by 1.;;X;X;;;
43;pairs_sum_to_zero;Check if two distinct elements in a list sum to zero.;;X;X;X;;
44;change_base;Convert a number to its string representation in a given base.;X;;X;X;;
45;triangle_area;Calculate the area of a triangle.;;;X;;;
46;fib4;Compute the nth element of the Fib4 sequence without recursion.;;X;X;X;;
47;median;Return the median of the elements in a list.;;X;X;X;;
48;is_palindrome;Check if a given string is a palindrome.;X;;;X;;
49;modp;Return 2^n modulo p.;;;X;;;
50;encode_shift;Encrypt a string by shifting each character in the alphabet by 5 positions.;X;X;X;;;
51;remove_vowels;Remove vowels from a string.;X;;;;;
52;below_threshold;Check if all numbers in a list are below a given threshold.;;X;;X;;
53;add;Add two numbers.;;;X;;;
54;same_chars;Check if two words contain the same characters.;X;;;X;;
55;fib;Return the nth Fibonacci number.;;;X;;;
56;correct_bracketing;Check if a bracket sequence of '<' and '>' is correctly nested.;X;;;X;;
57;monotonic;Check if list elements are monotonically increasing or decreasing.;;X;;X;;
58;common;Return sorted, unique common elements of two lists.;;X;;X;;
59;largest_prime_factor;Return the largest prime factor of a number.;;;X;X;;
60;sum_to_n;Sum numbers from 1 to n.;;X;X;;;
61;correct_bracketing;Check if a bracket sequence of '(' and ')' is correctly nested.;X;;;X;;
62;derivative;Return the coefficients of the derivative of a polynomial.;;X;X;;;
63;fibfib;Compute the nth element of the FibFib sequence.;;;X;;;
64;vowels_count;Count the number of vowels in a word.;X;;X;;;
65;circular_shift;Rotate the digits of an integer circularly to the right.;X;;X;;;
66;digitSum;Sum the ASCII codes of the uppercase letters in a string.;X;;X;X;;
67;fruit_distribution;Calculate the number of mango fruits in a basket based on a string description.;X;;X;;;
68;pluck;Find the smallest even value and its index in a list.;;X;;X;;
69;search;Find the largest positive integer whose frequency is greater than or equal to its value.;;X;;X;;
70;strange_sort_list;"Sort a list in a ""weird"" pattern (min, max, min, max...).";;X;;X;;
71;triangle_area;Calculate the area of a triangle and check its validity.;;;X;X;;
72;will_it_fly;"Check if an object ""flies"" (palindromic list and sum under weight).";;X;X;X;;
73;smallest_change;Find the minimum number of changes needed to make an array palindromic.;;X;;X;;
74;total_match;Return the list of strings with the smallest total number of characters.;X;X;;X;;
75;is_multiply_prime;Check if a number is the product of three prime numbers.;;;X;X;;
76;is_simple_power;Check if a number is a perfect power of another number.;;;X;X;;
77;iscube;Check if an integer is the cube of another integer.;;;X;X;;
78;hex_key;Count the prime hexadecimal digits in a string.;X;;X;;;
79;decimal_to_binary;Convert a decimal number to a binary string representation with prefix/suffix.;X;;X;;;
80;is_happy;"Check if a string is ""happy"" (at least 3 characters, 3 consecutive characters are all different).";X;;;X;;
81;numerical_letter_grade;Convert a list of GPAs into a list of letter grades.;;X;;X;;
82;prime_length;Check if the length of a string is a prime number.;X;;X;X;;
83;starts_one_ends;Count n-digit positive integers that start or end with 1.;;;X;;;
84;solve;Return the sum of the digits of a number in binary format.;X;;X;;;
85;add;Sum the even elements at odd indices in a list.;;X;X;X;;
86;anti_shuffle;Return a sorted version of a string with words arranged alphabetically.;X;;;;;
87;get_row;Find all occurrences of a value in a 2D list and return their coordinates sorted.;;X;;X;;
88;sort_array;Sort an array in ascending or descending order based on the parity of the sum of its first and last elements.;;X;X;X;;
89;encrypt;Encrypt a string by alphabetic shifting.;X;;;;;
90;next_smallest;Find the second smallest unique element in a list.;;X;;;;
91;is_bored;"Count sentences that start with ""I"".";X;;;X;;
92;any_int;Check if any of three integers is the sum of the other two.;;;X;X;;
93;encode;Encode a message by swapping letter case and replacing vowels.;X;;;X;;
94;skjkasdkd;Find the largest prime value in a list and return the sum of its digits.;;X;X;;;
95;check_dict_case;Check if all keys in a dictionary are either all lowercase or all uppercase.;X;;;X;;
96;count_up_to;Return a list of the first n primes that are smaller than n.;;X;X;X;;
97;multiply;Return the product of the units digits of two integers.;;;X;;;
98;count_upper;Count uppercase vowels at even indices in a string.;X;;;X;;
99;closest_integer;Return the nearest integer to a number represented as a string, with custom rounding rules.;X;;;X;;
100;make_a_pile;Generate a list of stone counts for n levels based on a pattern (n, n+2, n+4...).;;X;X;;;
101;words_string;Split a string of words separated by commas or spaces into a list of words.;X;X;;X;;
102;choose_num;Find the largest even integer in a given range [x, y] or -1 if none exist.;;;;X;;
103;rounded_avg;Calculate the average of integers in a range, round it, and convert it to binary.;X;;X;;;
104;unique_digits;Return a sorted list of positive integers that contain no even digits.;X;X;;X;;
105;by_length;Sort integers between 1 and 9, reverse order, and replace digits with their names.;X;X;;X;;
106;f;Generate a list of size n where elements are either factorials or sums based on index.;;X;X;X;;
107;even_odd_palindrome;Count even and odd palindromic integers in a given range.;X;;;X;;
108;count_nums;Count elements in a list of integers whose digit sum > 0, treating negatives by making the first digit negative.;X;X;;X;;
109;move_one_ball;Check if an array can be sorted by right shifts, assuming unique elements.;;X;;X;;
110;exchange;Check if swapping elements between two lists can make the first list all even numbers.;;X;;X;;
111;histogram;Create a dictionary of the most frequent letters in a space-separated string with their frequencies.;X;;;;;
112;reverse_delete;Remove characters from a string that appear in a second string, then check if the result is a palindrome.;X;;;X;;
113;odd_count;Count the odd digits in strings from a list and produce a formatted result string.;X;X;;;;
114;minSubArraySum;Find the minimum sum of a non-empty subarray in a list of integers.;;X;X;X;;
115;max_fill;Calculate how many times buckets of given capacity must be emptied to fetch water from wells in a grid.;;X;X;;;
116;sort_array;Sort a list of non-negative integers by the number of ones in their binary representation, then by decimal value.;X;X;X;X;;
117;select_words;Select words from a string that contain exactly n consonants.;X;X;;X;;
118;get_closest_vowel;Find the next vowel between two consonants from the right end of a word.;X;;;X;;
119;match_parens;Check if two bracket strings can be concatenated to form a balanced sequence.;X;;;X;;
120;maximum;Return a sorted list of the k largest numbers from an array.;;X;;;;
121;solution;Sum all odd elements in a list that are at even positions.;;X;X;X;;
122;add_elements;Sum the elements with at most two digits from the first k elements of an array.;X;X;X;X;;
123;get_odd_collatz;Return a sorted list of odd numbers in the Collatz sequence for a given starting number.;;X;X;X;;
124;valid_date;Validate a date string in mm-dd-yyyy format based on various rules.;X;;;X;X;
125;split_words;"Split a string by spaces or commas; if neither is present, count lowercase letters with even alphabetical index.";X;X;;X;;
126;is_sorted;Check if a list of numbers is sorted ascending and has no more than two duplicates of the same number.;;X;;X;;
127;intersection;Check if the length of the intersection of two intervals is a prime number.;;;X;X;;
128;prod_signs;Calculate the sum of the absolute values of integers multiplied by the product of all signs in an array.;;X;X;X;;
129;minPath;Find the lexicographically smallest path of length k in a grid, starting from 1.;;X;X;X;;
130;tri;Compute the first n+1 numbers of the Tribonacci sequence, with a special definition for even/odd n.;;X;X;X;;
131;digits;Return the product of the odd digits of a positive integer, or 0 if all digits are even.;X;;X;X;;
132;is_nested;Check if a string of square brackets contains a valid subsequence with at least one nested bracket.;X;;;X;;
133;sum_squares;Calculate the sum of squares of elements in a list, rounding each element up to the nearest integer first.;;X;X;;;
134;check_if_last_char_is_a_letter;Check if the last character of a string is alphabetic and not part of a word.;X;;;X;;
135;can_arrange;Find the largest index of an element that is not greater than or equal to the previous element.;;X;;X;;
136;largest_smallest_integers;Return a tuple of the largest negative and smallest positive integers in a list.;;X;;;;
137;compare_one;Compare two numbers (integers, floats, or strings) and return the larger in its original type.;X;;;X;;
138;is_equal_to_sum_even;Check if a number can be written as the sum of exactly four positive even numbers.;;;X;X;;
139;special_factorial;"Compute the ""Brazilian factorial"" of a number (n! * (n-1)! * ... * 1!).";;;X;;;
140;fix_spaces;Replace spaces in a string with underscores or hyphens based on their count.;X;;;X;;
141;file_name_check;Validate a filename string against specific format rules.;X;;;X;;
142;sum_squares;Square or cube elements in a list based on index divisibility and sum the results.;;X;X;X;;
143;words_in_sentence;Filter words in a sentence whose length is prime and return them as a string.;X;;X;X;;
144;simplify;Check if the multiplication of two fractions represented as strings results in an integer.;X;;X;X;;
145;order_by_points;Sort a list of integers by the sum of their digits.;X;X;X;;;
146;specialFilter;Count numbers in a list that are greater than 10 and whose first and last digits are odd.;;X;;X;;
147;get_max_triples;Count triples (a[i], a[j], a[k]) in a generated list whose sum is a multiple of 3.;;X;X;X;;
148;bf;Return planets that lie between two given planets based on their distance from the sun.;;X;X;X;;
149;sorted_list_sum;Filter strings with odd length from a list and sort the remaining strings.;X;X;;;;
150;x_or_y;Return x if n is a prime number, otherwise y.;;;X;X;;
151;double_the_difference;Sum the squares of positive odd integers in a list.;;X;X;X;;
152;compare;Compute the element-wise absolute difference between two lists.;;X;X;;;
153;Strongest_Extension;"Find the ""strongest"" expansion in a list based on uppercase and lowercase letters.";X;X;;X;;
154;cycpattern_check;Check if a cyclic rotation of the second string appears as a substring in the first string.;X;;;X;;
155;even_odd_count;Count even and odd digits in a given number and return them as a tuple.;X;X;;X;;
156;int_to_mini_roman;Convert an integer to its Roman numeral representation (lowercase).;X;;X;X;;
157;right_angle_triangle;Check if three given side lengths form a right triangle.;;;X;X;;
158;find_max;Find the word with the highest number of unique characters in a list of strings.;X;X;;X;;
159;eat;Calculate the total number of eaten and remaining carrots based on demand and supply.;;X;X;X;;
160;do_algebra;Evaluate an algebraic expression formed from lists of operators and operands.;;X;X;X;;
161;solve;Invert the case of letters in a string. Reverse the string completely if it contains no letters.;X;;;;;
162;string_to_md5;Compute the MD5 hash of a string.;X;;;;;
163;generate_integers;Generate a list of even numbers in ascending order within a given range.;;X;;X;;
erp_000;find_ceo_name;Find the name of the CEO in a company hierarchy based on a list of employees and their managers.;;;;;;X
erp_001;find_employees_without_subordinates;Return a list of employees who have no subordinates.;;X;;;;X
erp_002;count_subordinates;Count the total number of direct and indirect subordinates of a specific employee.;;X;;;;X
erp_003;find_management_chain;Return the complete management chain (from employee to CEO) for a specific employee.;;X;;;;X
erp_004;is_valid_hierarchy;Check if a given employee-manager structure forms a valid, acyclic hierarchy.;;;;X;;X
erp_005;compute_min_total_duration;Compute the minimum total duration for a task or project based on dependencies and individual times.;;X;X;X;;X
erp_006;create_plan_order_if_shortage_det;Automatically generate a production schedule if a material or product shortage is detected.;;X;X;X;;X
erp_007;calculate_delivery_date_with_holidays;Calculate the estimated delivery date taking into account weekends and holidays.;;X;X;X;X;X
erp_008;generate_customer_id;Generate a unique customer ID based on specific rules or customer data.;X;X;;X;;X
erp_009;aggregate_sales;Aggregate sales figures across customers, regions, or products.;;X;X;X;;X
erp_010;customer_search;Search a customer database by name, email, or other attributes.;;X;;X;;X
erp_011;flight_availability_check_for_a_customer;Check available flights for a customer considering travel dates and preferences.;;X;X;X;X;X
erp_012;total_booked_revenue_per_airline;Calculate total booked revenue per airline over a given period.;;X;X;;X;X
erp_013;list_all_flights_for_a_given_airline;List all flights belonging to a specific airline.;;X;;X;;X
erp_014;count_total_bookings_for_a_specific_flight;Count the total number of bookings for a specific flight.;;X;;X;;X
erp_015;flight_route_profitability_analysis;Analyze the profitability of a flight route based on revenue, costs, and load factors.;;X;X;;;X
